010.000.0022.00,Caseinato de calcio. Polvo. cada 100 g contienen: Proteínas 86.0 a 90.0 g. Grasas 0.0 a 2.0 g. Minerales 3.8 a 6.0 g. Humedad 0.0 a 6.2 g. Envase con 100 g,Pieza
010.000.0071.00,Benzatina bencilpenicilina. Suspensión inyectable. Cada frasco ámpula con polvo contiene: Benzatina bencilpenicilina equivalente a 600 000 UI de bencilpenicilina. Envase con un frasco ámpula y 5 ml de diluyente,Pieza
010.000.0080.00,Nicotina. Tableta masticable. Cada tableta de goma masticable contiene: complejo de resina de nicotina al 20% equivalente a 2.0 mg de nicotina. Envase con 30 tabletas de goma masticable,Pieza
010.000.0081.00,Nicotina. Solución. Cada cartucho contiene: nicotina 10.0 mg. Envase con 6 cartuchos y boquilla,Pieza
010.000.0082.00,Nicotina. Parche. cada parche de 7 cm2 contiene: nicotina 36 mg. Envases con 7 parches,Pieza
010.000.0083.00,Nicotina. Parche. cada parche de 15 cm2 contiene: nicotina 78 mg. Envase con 7 parches,Pieza
010.000.0084.00,Nicotina. Parche. cada parche de 22 cm2 contiene: nicotina 114 mg. Envase con 7 parches,Pieza
010.000.0085.00,Vareniclina. Tableta. cada tableta contiene: tartrato de vareniclina equivalente a 0.5 mg de vareniclina. y cada tableta contiene: tartrato de vareniclina equivalente a 1 mg de vareniclina. Envase con 11 tabletas de 0.5 mg más 14 tabletas de 1 mg,Pieza
010.000.0086.00,Vareniclina. Tableta. cada tableta contiene: tartrato de vareniclina equivalente a 1 mg de vareniclina. Envase con 28 tabletas de 1 mg,Pieza
010.000.0091.00,Miel de Maiz. Solución. cada 5 ml contienen: miel de maíz 3.75 g. Envase con 500 ml,Pieza
010.000.0101.00,Ácido acetilsalicilico. Tableta. Cada tableta contiene: Acido acetilsalicílico 500 mg. Envase con 20 tabletas,Pieza
010.000.0103.00,Ácido acetilsalicilico. Tableta soluble o efervescente. cada tableta soluble o efervescente contiene: acido acetilsalicílico 300 mg. Envase con 20 tabletas solubles o efervescentes,Pieza
010.000.0104.00,Paracetamol. Tableta. cada tableta contiene: paracetamol 500 mg. Envase con 10 tabletas,Pieza
010.000.0105.00,Paracetamol. Supositorio. cada supositorio contiene: paracetamol 300 mg. Envase con 3 supositorios,Pieza
010.000.0106.00,Paracetamol. Solucion oral. cada ml contiene: paracetamol 100 mg. Envase con 15 ml gotero calibrado a 0.5 y 1 ml integrado o adjunto al envase que sirve de tapa,Pieza
010.000.0108.00,Metamizol sodico. Comprimido. cada comprimido contiene: metamizol sódico 500 mg. Envase con 10 comprimidos,Pieza
010.000.0109.00,Metamizol sodico. Solucion inyectable. cada ampolleta contiene: metamizol sódico 1 g. Envase con 3 ampolletas con 2 ml,Pieza
010.000.0113.00,Butilhioscina-metamizol. Gragea. cada gragea contiene: bromuro de butilhioscina 10 mg metamizol sódico monohidrato equivalente a 250 mg de metamizol sódico. Envase con 36 grageas,Pieza
010.000.0154.00,Aceite mineral. Solucion. cada envase contiene: aceite mineral. Envase con 265 ml,Pieza
010.000.0204.00,Atropina. Solucion inyectable. cada ampolleta contiene: sulfato de atropina 1 mg. Envase con 50 ampolletas con 1 ml,Pieza
010.000.0232.00,Isoflurano. Liquido o solucion. cada envase contiene: isoflurano 100 ml. Envase con 100 ml,Pieza
010.000.0233.00,Sevoflurano. Liquido o solucion. cada envase contiene: sevoflurano 250 ml. Envase con 250 ml de líquido o solución,Pieza
010.000.0234.00,Desflurano. Liquido. cada envase contiene: desflurano 240 ml. Envase con 240 ml,Pieza
010.000.0244.00,"PROPOFOL. EMULSION INYECTABLE. Cada ampolleta o frasco ámpula contiene: Propofol 200 mg. En solución con aceite de soya, fosfátido de huevo o lecitina de huevo y glicerol. Envase con 5 ampolletas o frascos ámpula de 20 mL",Pieza
010.000.0245.00,"PROPOFOL. EMULSION INYECTABLE. Cada frasco ámpula o jeringa contiene: Propofol 500 mg. En solución con aceite de soya, fosfátido de huevo o lecitina de huevo y glicerol. Envase con un frasco ámpula o jeringa de 50 mL",Pieza
010.000.0246.00,PROPOFOL. EMULSIÓN INYECTABLE. Cada ampolleta o frasco ámpula contiene: Propofol 200 mg. En emulsión con o sin edetato disódico (dihidratado). Envase con 5 ampolletas o frascos ámpula de 20 mL,Pieza
010.000.0247.00,Dexmedetomidina. solución inyectable. Cada frasco ámpula contiene: clorhidrato de dexmedetomidina 200 µg. Envase con 1 frasco ámpula,Pieza
010.000.0247.01,Dexmedetomidina. solución inyectable. Cada frasco ámpula contiene: clorhidrato de dexmedetomidina 200 µg. Envase con 5 frasco ámpula,Pieza
010.000.0247.02,Dexmedetomidina. solución inyectable. Cada frasco ámpula contiene: clorhidrato de dexmedetomidina 200 µg. Envase con 25 frascos ámpula,Pieza
010.000.0252.00,Suxametonio cloruro de. Solución Inyectable. Cada ampolleta contiene: Cloruro de suxametonio 40 mg. Envase con 5 ampolletas con 2 ml,Pieza
010.000.0254.00,Vecuronio. Solución Inyectable. Cada frasco ámpula con liofilizado contiene: Bromuro de vecuronio 4 mg. Envase con 50 frascos ámpula y 50 ampolletas con 1 ml de diluyente (4 mg/ml),Pieza
010.000.0260.00,Lidocaína. Gel. Cada ml contiene: Clorhidrato de lidocaína 20 mg. Envase con 10 ml,Pieza
010.000.0260.01,Lidocaína. Gel. Cada ml contiene: Clorhidrato de lidocaína 20 mg. Envase con 20 ml,Pieza
010.000.0260.02,Lidocaína. Gel. Cada ml contiene: Clorhidrato de lidocaína 20 mg. Envase con 30 ml,Pieza
010.000.0261.00,Lidocaína. Solución Inyectable al 1%. Cada frasco ámpula contiene: Clorhidrato de lidocaína 500 mg. Envase con 5 frascos ámpula de 50 ml,Pieza
010.000.0262.00,Lidocaína. Solución Inyectable al 2%. Cada frasco ámpula contiene: Clorhidrato de lidocaína 1 g. Envase con 5 frascos ámpula con 50 ml,Pieza
010.000.0263.00,Lidocaína. Solución Inyectable al 5%. Cada ampolleta contiene: Clorhidrato de lidocaína 100 mg Glucosa monohidratada 150 mg. Envase con 50 ampolletas con 2 ml,Pieza
010.000.0264.00,Lidocaína. Solución al 10%. Cada 100 ml contiene: Lidocaína 10.0 g. Envase con 115 ml con atomizador manual,Pieza
010.000.0265.00,Lidocaína epinefrina. Solución Inyectable al 2%. Cada frasco ámpula contiene: Clorhidrato de lidocaína 1 g Epinefrina (1:200000) 0.25 mg. Envase con 5 frascos ámpula con 50 ml,Pieza
010.000.0267.00,Lidocaína epinefrina. Solución Inyectable al 2%. Cada cartucho dental contiene: Clorhidrato de lidocaína 36 mg Epinefrina (1:100000) 0.018 mg. Envase con 50 cartuchos dentales con 1.8 ml,Pieza
010.000.0269.00,Ropivacaina. Solución Inyectable. Cada ampolleta contiene: Clorhidrato de ropivacaína monohidratada equivalente a 40 mg de clorhidrato de ropivacaina. Envase con 5 ampolletas con 20 ml,Pieza
010.000.0270.00,Ropivacaina. Solución Inyectable. Cada ampolleta contiene: Clorhidrato de ropivacaína monohidratada equivalente a 150 mg de clorhidrato de ropivacaina. Envase con 5 ampolletas con 20 ml,Pieza
010.000.0271.00,Bupivacaína. Solución Inyectable. Cada ml contiene: Clorhidrato de bupivacaína 5 mg. Envase con 30 ml,Pieza
010.000.0291.00,Neostigmina. Solución Inyectable. Cada ampolleta contiene: Metilsulfato de neostigmina 0.5 mg. Envase con 6 ampolletas con 1 ml,Pieza
010.000.0402.00,Clorfenamina. Tableta. Cada tableta contiene: Maleato de clorfenamina 4.0 mg. Envase con 20 Tabletas,Pieza
010.000.0405.00,Difenhidramina. Jarabe. Cada 100 mililitros contienen: Clorhidrato de difenhidramina 250 mg. Envase con 60 ml,Pieza
